rank,amount
1,186
2,197
3,141
4,60
5,43
6,12
7,42
8,24
9,13
10,9
11,6
12,5
13,12
14,5
15,8
16,8
17,9
18,8
19,1
20,1
21,5
22,2
23,4
24,9
25,1
26,2
27,2
28,3
29,1
30,3
31,0
32,2
33,0
34,1
35,3
36,1
37,0
38,1
39,2
40,2
41,1
42,0
43,1
44,0
45,0
46,1
47,2
48,0
49,1
50,4
>50,156
