rank,amount
1,163
2,212
3,99
4,92
5,67
6,27
7,48
8,33
9,24
10,18
11,6
12,5
13,19
14,9
15,6
16,14
17,13
18,7
19,5
20,4
21,7
22,2
23,7
24,2
25,3
26,0
27,2
28,4
29,1
30,7
31,0
32,5
33,0
34,1
35,1
36,2
37,4
38,0
39,1
40,1
41,3
42,0
43,2
44,1
45,2
46,0
47,0
48,0
49,0
50,4
>50,67
