rank,amount
1,1670
2,1992
3,1066
4,865
5,694
6,303
7,444
8,322
9,262
10,162
11,70
12,51
13,150
14,56
15,97
16,143
17,167
18,82
19,51
20,53
21,82
22,46
23,76
24,18
25,39
26,15
27,33
28,33
29,17
30,23
31,4
32,25
33,21
34,10
35,24
36,32
37,22
38,17
39,27
40,8
41,20
42,3
43,10
44,5
45,3
46,6
47,23
48,4
49,15
50,19
>50,620
