rank,amount
1,195
2,77
3,45
4,73
5,80
6,19
7,107
8,19
9,18
10,16
11,21
12,5
13,4
14,5
15,1
16,1
17,3
18,1
19,1
20,3
21,1
22,0
23,1
24,0
25,1
26,1
27,0
28,1
29,0
30,0
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
>50,300
