rank,amount
1,374
2,94
3,141
4,90
5,30
6,23
7,26
8,3
9,11
10,19
11,6
12,3
13,6
14,5
15,2
16,6
17,3
18,3
19,5
20,1
21,2
22,5
23,0
24,2
25,3
26,5
27,1
28,0
29,1
30,7
31,1
32,2
33,0
34,0
35,1
36,0
37,2
38,1
39,0
40,0
41,0
42,0
43,2
44,0
45,2
46,0
47,0
48,2
49,5
>50,105
