rank,amount
1,163
2,212
3,100
4,91
5,67
6,20
7,33
8,42
9,23
10,5
11,4
12,4
13,14
14,6
15,5
16,11
17,6
18,5
19,1
20,2
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
>50,186
