rank,amount
1,45
2,39
3,27
4,63
5,35
6,11
7,16
8,19
9,22
10,6
11,13
12,1
13,8
14,1
15,10
16,6
17,6
18,8
19,3
20,1
21,0
22,4
23,2
24,3
25,5
26,0
27,1
28,2
29,0
30,2
31,0
32,2
33,2
34,0
35,1
36,2
37,1
38,2
39,2
40,0
41,2
42,0
43,0
44,0
45,0
46,0
47,2
48,0
49,0
50,1
>50,34
