rank,amount
1,586
2,216
3,40
4,15
5,19
6,4
7,3
8,2
9,8
10,4
11,1
12,5
13,1
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,3
33,3
34,0
35,1
36,0
37,0
38,1
39,0
40,0
41,1
42,1
43,0
44,0
45,0
46,0
47,0
48,0
49,0
>50,84
