rank,amount
1,562
2,238
3,41
4,36
5,14
6,16
7,17
8,14
9,4
10,5
11,4
12,3
13,5
14,1
15,5
16,2
17,0
18,2
19,1
20,2
21,2
22,0
23,1
24,0
25,0
26,1
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,3
36,0
37,0
38,2
39,0
40,0
41,0
42,0
43,0
44,0
45,1
46,0
47,0
48,0
49,0
50,0
>50,18
